chunk,count
district,2333
community,2071
area,1055
interest,1027
county,1018
city,687
map,646
people,585
resident,441
population,432
state,381
representation,327
township,301
voter,284
time,266
party,253
commission,252
line,210
need,207
work,200
boundary,197
redistricting,193
representative,191
way,190
service,185
school,180
citizen,179
election,170
issue,169
concern,168
comment,161
region,160
gerrymandering,159
family,155
voice,155
town,154
sense,151
business,137
seat,134
consideration,133
vote,128
plan,127
school district,126
member,126
life,124
number,122
group,122
candidate,116
opportunity,114
majority,111
corridor,109
suburb,108
home,108
example,105
criterion,104
border,104
neighborhood,104
reason,102
government,100
place,92
resource,91
thing,91
history,88
district line,88
neighbor,85
job,82
idea,81
state district,81
process,81
effort,80
municipality,80
part,79
road,79
portion,78
democracy,78
testimony,75
lot,74
child,73
value,70
official,69
shopping,69
person,67
county line,66
access,66
student,66
system,65
friend,63
industry,63
north,62
connection,62
water,62
view,62
tie,61
goal,60
task,60
fairness,59
order,58
result,57
lake,56
tourism,56
challenge,56
education,55
country,55
politician,54
meeting,53
rest,53
point,53
section,53
hearing,53
end,52
problem,52
proposal,52
shape,52
support,51
race,51
district map,51
organization,51
location,51
coi,51
event,50
housing,50
advantage,49
east,49
activity,49
power,49
south,47
park,46
airport,46
share,46
culture,46
diversity,46
fact,46
watershed,45
purpose,45
hospital,45
level,45
office,45
priority,45
datum,45
difference,44
voting district,44
experience,43
farm,43
law,42
submission,42
term,42
individual,42
precinct,42
constituent,42
addition,41
compactness,41
redistricting process,41
suggestion,41
decision,41
change,40
mind,40
transportation,40
districting,40
village,39
husband,39
politic,38
development,38
downtown,38
case,38
agriculture,38
land,37
factor,37
importance,37
information,37
church,37
southwest,37
west,36
ability,36
infrastructure,36
shoreline,35
regard,35
class,35
request,35
basis,35
ring suburb,35
characteristic,34
geography,34
opinion,34
river,34
thought,34
bond,34
district boundary,34
input,34
relationship,33
center,33
attention,33
benefit,33
farmer,33
leader,33
committee,33
policy,33
house,32
economy,32
color,32
restaurant,32
minority,32
future,32
block,31
right,31
college,31
funding,31
thank,31
census,30
focus,30
chance,30
worker,30
commerce,30
proximity,30
sport,30
folk,30
recreation,30
income,29
attempt,29
concept,29
quality,29
institution,29
nation,29
religion,29
balance,28
division,28
kid,28
speaker,27
influence,27
nature,27
commissioner,27
makeup,26
deviation,26
border county,26
majority minority district,26
requirement,26
program,26
entertainment,26
redistricting plan,25
account,25
identity,25
belief,25
care,25
demographic,25
state representative,25
link,24
split,24
world,24
desire,24
state house district,24
growth,24
variety,24
ethnicity,24
question,24
school system,23
metro area,23
university,23
corner,23
health,23
solution,23
situation,23
responsibility,23
trail,23
farming community,23
southeast,23
commonality,22
environment,22
method,22
lifestyle,22
similarity,22
background,22
extent,22
s,22
impact,22
house district,22
unit,22
principle,22
type,22
manufacturing,22
size,21
street,21
form,21
amenity,21
equity,21
public,21
child care,21
behalf,21
project,21
manner,21
starting point,21
incumbent,20
news,20
instance,20
practice,20
voting,20
ballot,20
character,20
legislator,20
building,20
lack,20
county boundary,19
health care,19
aspect,19
hand,19
travel,19
doctor,19
state senator,19
zip code,19
recommendation,19
artery,19
employment,19
definition,19
outcome,19
dining,19
choice,19
intersection,19
freeway,18
employee,18
neighboring county,18
collaboration,18
address,18
edge,18
bias,18
action,18
legislature,18
ring,18
shore,18
destination,18
position,18
teacher,18
mapping,17
understanding,17
immigrant,17
commitment,17
campus,17
corporation,17
integrity,17
side,17
facility,17
control,17
library,17
parent,17
standard,17
page,17
peninsula,16
exception,16
partnership,16
jurisdiction,16
matter,16
state level,16
legislation,16
board,16
course,16
proportion,16
amendment,16
year,16
-countie,16
network,16
cost,16
detail,16
broadband,16
base,16
generation,16
class population,16
police,16
success,16
entity,16
constitution,15
existence,15
electorate,15
guideline,15
route,15
energy,15
mean,15
competitiveness,15
property,15
pandemic,15
subdivision,15
faith,15
wife,15
court,15
safety,15
site,15
plant,15
gerrymander,15
prison,15
neighboring resident,15
