chunk,count
set,54
community leader,51
range,47
designation,47
dynamic,46
community meeting,43
status,30
topic,30
sub,28
ward,27
assembly district,25
community member,24
function,24
culture,23
interview approach,23
trend,23
mapping software statistic,23
guide,23
census/,23
population stat,23
confusion misinformation,23
approach,22
cd,21
worker,21
dividing line criterion,21
gb/,21
specie,19
reach,17
media,17
area plan,16
statewide community,15
methodology,14
lead,13
age,12
discussion,12
engagement,11
wave,11
entirety,10
fighting,10
holding,10
