chunk,count,stop,justification
family,21,,
school,21,,
class,12,,
communite,11,y,not interpretable
majority,8,,
school district,7,,
diversity,7,,
library,7,,
professional,6,,
income,6,,
student,6,,
separation,6,,
suburb,5,,
class family,5,y,not interpretable
downtown,5,,
