chunk,count
help,18
cost grocery,14
home owner,13
community map,12
family home,11
sd,11
option,10
trouble,9
adult,8
income community,8
condition,7
quality school,7
car,7
rate,6
effect,6
kind,6
height,6
variety,5
property taxis,5
house payment,5
editor,5
community institution,5
